"sub.id" "task.id" "Bas.run1" "Pro.run1" "Rea.run1" "Bas.run2" "Pro.run2" "Rea.run2"
"75" "657659" "Stern" "03-19-2022" "04-16-2022" "04-02-2022" "03-19-2022" "04-16-2022" "04-02-2022"
"76" "657659" "Stroop" "03-19-2022" "04-16-2022" "04-02-2022" "03-19-2022" "04-16-2022" "04-02-2022"
"77" "672756" "Axcpt" "07-29-2019" "10-05-2019" "09-21-2019" "07-29-2019" "10-05-2019" "09-21-2019"
"78" "672756" "Cuedts" "07-29-2019" "10-05-2019" "09-21-2019" "07-29-2019" "10-05-2019" "09-21-2019"
"79" "672756" "Stern" "07-29-2019" "10-05-2019" "09-21-2019" "07-29-2019" "10-05-2019" "09-21-2019"
"80" "672756" "Stroop" "07-29-2019" "10-05-2019" "09-21-2019" "07-29-2019" "10-05-2019" "09-21-2019"
"81" "818455" "Axcpt" "04-30-2022" NA "05-01-2022" "04-30-2022" NA "05-01-2022"
"82" "818455" "Cuedts" "04-30-2022" NA "05-01-2022" "04-30-2022" NA "05-01-2022"
"83" "818455" "Stern" "04-30-2022" NA "05-01-2022" "04-30-2022" NA "05-01-2022"
"84" "818455" "Stroop" "04-30-2022" NA "05-01-2022" "04-30-2022" NA "05-01-2022"
"85" "849971" "Axcpt" "12-27-2018" "01-12-2019" "01-07-2019" "12-27-2018" "01-12-2019" "01-07-2019"
"86" "849971" "Cuedts" "12-27-2018" "01-12-2019" "01-07-2019" "12-27-2018" "01-12-2019" "01-07-2019"
"87" "849971" "Stern" "12-27-2018" "01-12-2019" "01-07-2019" "12-27-2018" "01-12-2019" "01-07-2019"
"88" "849971" "Stroop" "12-27-2018" "01-12-2019" "01-07-2019" "12-27-2018" "01-12-2019" "01-07-2019"
"89" "877168" "Axcpt" "03-23-2018" "04-27-2018" "04-20-2018" "03-23-2018" "04-27-2018" "04-20-2018"
"90" "877168" "Cuedts" "03-23-2018" "04-27-2018" "04-20-2018" "03-23-2018" "04-27-2018" "04-20-2018"
"91" "877168" "Stern" "03-23-2018" "04-27-2018" "04-20-2018" "03-23-2018" "04-27-2018" "04-20-2018"
"92" "877168" "Stroop" "03-23-2018" "04-27-2018" "04-20-2018" "03-23-2018" "04-27-2018" "04-20-2018"
