Run#1Pol#0,Run#1Pol#1,Run#1Pol#2,Run#1Pol#3,Run#1Pol#4,Run#1Pol#5,alltrials#0,alltrials#1,alltrials#2,alltrials#3,alltrials#4,alltrials#5,alltrials#6,alltrials#7,alltrials#8,alltrials#9,alltrials#10,alltrials#11,alltrials#12,alltrials#13,alltrials#14,alltrials#15,alltrials#16,alltrials#17,alltrials#18,alltrials#19,alltrials#20,alltrials#21,alltrials#22,alltrials#23,alltrials#24,alltrials#25,alltrials#26,alltrials#27,alltrials#28,alltrials#29,alltrials#30,alltrials#31,alltrials#32,alltrials#33,alltrials#34,alltrials#35,alltrials#36,alltrials#37,alltrials#38,alltrials#39,alltrials#40,alltrials#41,alltrials#42,alltrials#43,alltrials#44,alltrials#45,alltrials#46,alltrials#47,alltrials#48,alltrials#49,alltrials#50,alltrials#51,alltrials#52,alltrials#53,alltrials#54,alltrials#55,alltrials#56,alltrials#57,alltrials#58,alltrials#59,alltrials#60,alltrials#61,alltrials#62,alltrials#63,alltrials#64,alltrials#65,alltrials#66,alltrials#67,alltrials#68,alltrials#69,alltrials#70,alltrials#71,alltrials#72,alltrials#73,alltrials#74,alltrials#75,alltrials#76,alltrials#77,alltrials#78,alltrials#79,alltrials#80,alltrials#81,alltrials#82,alltrials#83,alltrials#84,alltrials#85,alltrials#86,alltrials#87,alltrials#88,alltrials#89,alltrials#90,alltrials#91,alltrials#92,alltrials#93,alltrials#94,alltrials#95,alltrials#96,alltrials#97,alltrials#98,alltrials#99,alltrials#100,alltrials#101,alltrials#102,alltrials#103,alltrials#104,alltrials#105,alltrials#106,alltrials#107,movregs[0]#0,movregs[1]#0,movregs[2]#0,movregs[3]#0,movregs[4]#0,movregs[5]#0
1,-0.962894,0.888893,-0.787564,0.657172,-0.512196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087003,0.087898,0.362624,0.000793,-0.00548,4.5e-05
1,-0.959184,0.878195,-0.767427,0.62628,-0.470567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082989,-0.054342,0.259774,0.001355,-0.005265,-4.7e-05
1,-0.955473,0.867538,-0.747488,0.59595,-0.430159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084041,0.068448,0.337421,0.001072,-0.005405,7.8e-05
1,-0.951763,0.856923,-0.727746,0.566176,-0.390952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074984,0.109496,0.326831,0.001035,-0.005442,0.000138
1,-0.948052,0.846348,-0.708201,0.536953,-0.352926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075834,-0.232947,0.265148,0.002106,-0.005364,1e-04
1,-0.944341,0.835816,-0.688851,0.508277,-0.316063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089369,-0.244946,0.239365,0.002326,-0.005107,-0.000158
1,-0.940631,0.825324,-0.669697,0.480143,-0.280344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082368,0.055503,0.272722,0.00174,-0.005321,-3e-05
1,-0.93692,0.814874,-0.650737,0.452545,-0.24575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088505,-0.052648,0.239762,0.001447,-0.005148,-9.9e-05
1,-0.93321,0.804465,-0.63197,0.425478,-0.212261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087659,-0.008453,0.243845,0.001865,-0.005204,-6.2e-05
1,-0.929499,0.794098,-0.613396,0.398937,-0.179861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087891,0.205423,0.262896,0.001486,-0.005047,-4.7e-05
