wave,session,task,run,subj,name,stimuli,number,letter,trial.type,cue,number.resp,letter.resp,award,switch,cue.color,target.color,target.color.orig,incentive,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,trialtype
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,6I,e,v,Con,l,1,1,,,red,black,black,NoInc,3200,1,968,1,1,634520,639026,639994,111413,37,523.107,527.613,528.581,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,E3,o,v,InCon,l,2,1,,stay,red,black,green,Inc,2000,1,875,1,1,646519,651025,651900,111413,38,535.106,539.612,540.487,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,1B,o,c,Con,n,2,2,,switch,red,black,black,NoInc,4400,1,882,2,2,657318,661824,662706,111413,39,545.905,550.411,551.293,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,4D,e,c,InCon,n,1,2,,stay,red,black,green,Inc,3200,1,641,1,1,670517,675023,675664,111413,40,559.104,563.61,564.251,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,3E,o,v,InCon,n,2,1,,stay,red,black,green,Inc,3200,1,832,2,2,682516,687023,687855,111413,41,571.103,575.61,576.442,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,A2,e,v,Con,l,1,1,,switch,red,black,black,NoInc,2000,1,822,1,1,694515,699022,699844,111413,42,583.102,587.609,588.431,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,H5,o,c,Con,n,2,2,,switch,red,black,black,NoInc,2000,1,903,2,2,705328,709821,710724,111413,43,593.915,598.408,599.311,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,B1,o,c,Con,l,2,2,,switch,red,black,black,NoInc,4400,1,1121,2,2,716127,720620,721741,111413,44,604.714,609.207,610.328,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,2A,e,v,Con,l,1,1,,stay,red,black,black,NoInc,4400,1,771,1,1,729326,733819,734590,111413,45,617.913,622.406,623.177,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,1A,o,v,InCon,n,2,1,,switch,red,black,black,NoInc,2000,1,866,2,2,742525,747018,747884,111413,46,631.112,635.605,636.471,28.41,274.405,520.414,246.02,492.016,738.011,InConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,H5,o,c,Con,l,2,2,,switch,red,black,green,Inc,4400,1,1022,2,2,753324,757817,758839,111413,47,641.911,646.404,647.426,28.41,274.405,520.414,246.02,492.016,738.011,ConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,A2,e,v,Con,n,1,1,,switch,red,black,black,NoInc,3200,1,760,1,1,766523,771016,771776,111413,48,655.11,659.603,660.363,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,B1,o,c,Con,n,2,2,,stay,red,black,black,NoInc,3200,1,712,2,2,778522,783015,783727,111413,49,667.109,671.602,672.314,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,4D,e,c,InCon,l,1,2,,switch,red,black,green,Inc,2000,1,798,2,2,790522,795028,795826,111413,50,679.109,683.615,684.413,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,2A,e,v,Con,n,1,1,,switch,red,black,black,NoInc,4400,1,871,1,1,801321,805827,806698,111413,51,689.908,694.414,695.285,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,6I,e,v,Con,n,1,1,,stay,red,black,black,NoInc,4400,1,732,1,1,814520,819026,819758,111413,52,703.107,707.613,708.345,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,1B,o,c,Con,l,2,2,,switch,red,black,black,NoInc,3200,1,757,2,2,827719,832225,832982,111413,53,716.306,720.812,721.569,28.41,274.405,520.414,246.02,492.016,738.011,ConNoInc
2,bas,cue,1,DMCC8033964,bas_cue_run1_DMCC8033964,3E,o,v,InCon,l,2,1,,stay,red,black,green,Inc,2000,1,812,1,1,839718,844224,845036,111413,54,728.305,732.811,733.623,28.41,274.405,520.414,246.02,492.016,738.011,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,B1,o,c,Con,n,2,2,,,red,black,black,NoInc,3200,1,768,2,2,71492,75998,76766,40390,1,31.102,35.608,36.376,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,2A,e,v,Con,n,1,1,,stay,red,black,black,NoInc,3200,1,667,1,1,83504,87997,88664,40390,2,43.114,47.607,48.274,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,D4,e,c,InCon,n,1,2,,stay,red,black,green,Inc,3200,1,747,1,1,95503,99996,100743,40390,3,55.113,59.606,60.353,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,5H,o,c,Con,n,2,2,,stay,red,black,black,NoInc,2000,1,810,2,2,107502,111995,112805,40390,4,67.112,71.605,72.415,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,4D,e,c,InCon,l,1,2,,switch,red,black,green,Inc,4400,1,949,2,2,118301,122794,123743,40390,5,77.911,82.404,83.353,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,2A,e,v,Con,l,1,1,,stay,red,black,black,NoInc,2000,1,701,1,1,131501,135994,136695,40390,6,91.111,95.604,96.305,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,B1,o,c,Con,l,2,2,,stay,red,black,black,NoInc,2000,1,815,2,2,142300,146793,147608,40390,7,101.91,106.403,107.218,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,1B,o,c,Con,n,2,2,,switch,red,black,black,NoInc,4400,1,648,2,2,153099,157592,158240,40390,8,112.709,117.202,117.85,28.408,274.404,520.412,246.019,492.014,738.023,ConNoInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,6I,e,v,Con,l,1,1,,switch,red,black,green,Inc,4400,1,1480,1,1,166298,170804,172284,40390,9,125.908,130.414,131.894,28.408,274.404,520.412,246.019,492.014,738.023,ConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,3E,o,v,InCon,n,2,1,,switch,red,black,green,Inc,2000,1,761,2,2,179497,184003,184764,40390,10,139.107,143.613,144.374,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
2,bas,cue,2,DMCC8033964,bas_cue_run2_DMCC8033964,E3,o,v,InCon,n,2,1,,stay,red,black,green,Inc,4400,1,747,2,2,190296,194803,195550,40390,11,149.906,154.413,155.16,28.408,274.404,520.412,246.019,492.014,738.023,InConInc
